n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
1000,6430,5343,6517,6114,9534,6315,8782,6517,8482,6120,6792,8422,6850,6790,8307,6509,6278,7842,7736,5603,8269,8856,7589,6063,8087,10869,5440,5602,6600,6741,9135,7531,5990,6285,5862,6747,6120,7079,8427,5994,7389,8044,7830,7971,7734,6384,7974,11103,7041,8756
2000,16285,15361,14590,17921,18877,17583,13000,15220,16506,13768,14870,12827,14387,20107,16008,19157,13429,13363,13348,14761,13804,15405,19906,16424,13786,15430,20888,20154,18696,15078,12967,18490,14516,14702,13524,20257,13398,13843,13405,19824,18037,18621,18580,13519,15305,15817,17270,17627,17955,13918
3000,24784,33766,25937,26644,32280,28794,23808,27631,27749,31932,24090,26638,21319,20205,21037,23001,25761,22819,29109,24302,25724,23470,27067,24361,28075,25593,23259,24823,23051,25684,29341,26299,27245,23627,21979,26679,32489,17826,26684,23865,22337,23969,30605,23129,22241,22171,22023,20265,26024,25291
4000,34754,31337,35247,35684,32646,34498,38422,33146,34823,41262,32091,36936,46718,29732,26613,39695,38290,32040,35515,38407,38467,31981,46216,31917,39888,35487,33560,31489,30052,39109,41156,30133,33074,37182,34133,41145,42621,33000,33526,40638,29377,40683,29064,36217,34346,32324,43946,40520,31214,34165
5000,45406,46521,44183,43334,42936,43203,43333,43960,50187,43781,46668,45727,48028,44599,40304,47271,42732,43953,43145,47312,46987,51607,38562,49001,37293,42350,42147,45875,37266,44988,47431,51502,45082,51368,47744,44320,43390,45417,36899,50820,43850,40216,42119,48389,48699,41133,49436,53257,38245,45229
6000,67252,55225,58701,48389,58203,49402,54965,55504,63889,45924,55104,60841,48728,60985,51488,49025,54623,50182,60721,51820,61829,58078,58264,68286,52186,54348,46905,51465,40870,62576,60669,54025,64676,62316,59177,55764,45281,69708,49995,54340,57217,62749,51112,75165,63019,61265,53056,53608,55885,46923
7000,74001,55684,63082,53337,57786,61715,67022,70411,63090,69513,78587,57889,64288,68947,69185,69722,60129,81026,64518,60719,60640,58710,68325,72595,57671,63976,81830,69134,65082,65640,96760,70651,75345,68994,77208,66601,65391,57651,63109,60668,68468,60910,58592,54977,64684,62772,55213,106538,63500,69077
8000,71912,68920,67012,86968,83854,68145,66843,72848,78305,77602,74993,69956,83143,65160,68127,66369,75809,92906,93046,69950,65440,88253,76667,80532,72372,73253,69863,63697,74230,86987,68643,65301,75159,96995,117357,84166,92247,77962,75057,76176,78021,79024,70212,70212,66664,93984,93799,75951,95140,62495
9000,80214,116827,71822,97240,84015,77541,93931,129090,77596,84632,87387,88419,83838,100261,88049,84109,100127,84287,90923,93140,79210,75980,66938,75090,72828,82268,80558,89375,98576,86363,94540,94731,98990,81398,74385,69088,90505,89323,87164,75185,95096,102904,84671,97439,88703,82957,89290,74207,91285,83741
10000,99389,111714,84356,94103,119839,98473,89774,114964,105509,81477,120401,108418,90941,97882,96169,109823,86674,84609,97290,112602,81764,113345,81273,83908,95984,93384,93186,77471,84544,122073,89075,93560,88178,95863,92320,97774,84928,97359,83327,85445,107261,80907,100051,110156,101336,102889,107128,103508,104550,101903
11000,104385,116564,83387,149005,126593,107188,89847,114332,99989,107253,99157,129074,102508,96353,96506,107250,110666,88504,104724,113363,114193,100232,93699,103292,104645,142036,106231,96189,124572,119297,98524,114758,111841,109431,94914,98768,112883,100637,116942,91779,105078,130806,102210,92581,107993,117505,103641,119162,81978,115995
