n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
1000,8577,10274,11206,8767,7886,9921,9018,8818,9184,9635,10420,9988,12191,9761,9405,9049,9353,10422,11975,13351,11427,9061,14332,9062,8992,9600,8736,9500,14118,11946,12770,10243,11111,11331,9436,8353,10752,9337,10739,9345,9328,7947,8126,8586,9745,8645,9014,8159,9653,9487
2000,20176,26514,23444,20349,27820,20506,17520,21613,21966,17446,18693,18263,19657,21536,19084,20148,25745,18558,20272,21068,21624,25167,31523,24394,19638,22265,20612,24568,20750,17202,18392,19287,20466,22270,19075,20240,21617,21736,18758,20900,26028,18309,22831,18162,21509,20210,16701,15685,22324,16832
3000,34558,31013,27542,32316,28999,29411,28892,32457,34931,43774,40299,38604,28875,42606,30055,34835,32951,25877,27094,32857,28964,31137,34150,39011,35369,31341,32897,31140,33905,30530,31712,38270,30063,36453,28757,34898,34827,39947,36681,32393,31597,30741,29715,31684,29963,37470,38655,33165,26385,32589
4000,39660,49771,49164,42570,45134,42343,43616,40056,46536,43149,39532,53351,50308,41234,50582,43680,52726,51939,45394,42586,46370,48434,51532,49590,55841,44902,44932,38072,45510,44544,42057,41893,63821,39382,43618,46978,49616,45812,56552,47257,38547,45206,62163,51467,47072,48586,51602,37992,41502,39981
5000,56746,64232,63259,58426,60507,55423,54587,54309,66751,54785,58000,64087,50581,53914,56029,64837,49815,50051,53699,59510,63311,63679,54198,48633,61005,58416,78257,52072,60493,59503,53481,60011,58342,56207,59889,56115,57778,53019,74316,67382,60631,58327,58340,50323,54531,83544,52332,49777,53678,56747
6000,74043,69179,87231,63780,73265,67279,61474,69780,78624,64285,68675,66902,71527,68457,65251,70842,97595,69055,67888,81237,72196,76468,71007,67016,75525,77325,69320,73619,68298,83514,61139,74868,68578,74215,67462,72303,90912,67183,75110,89953,59427,68940,61963,80576,76065,63232,61464,70344,63850,64331
7000,85285,73553,78342,134490,103003,83317,95351,102372,79288,76960,94295,86408,97817,73199,81825,82830,79335,78522,75304,81429,83881,83176,75395,96025,94236,76124,82998,82717,88992,71780,128716,90414,88538,91355,76665,70487,74765,79185,90566,83453,97457,81198,78107,88929,70043,75264,80584,95634,106321,77098
8000,95999,123874,90051,97096,99433,93599,85585,110095,93458,78035,82743,99490,102909,111327,111906,86773,118802,104460,88244,93595,114668,88787,111887,107193,85357,97638,89486,83692,93413,103888,158218,102687,90909,88567,106299,86871,112635,115430,94406,87042,121215,118459,130365,110893,84896,83046,109780,93625,86865,79414
9000,89637,116274,106553,101147,129745,100174,130946,124317,110486,105958,96781,95800,112760,91641,110829,99669,122109,107123,126585,112531,121841,109301,127024,93014,98554,108619,128309,142853,114859,102461,114274,106601,113799,106234,99418,131488,95129,103191,99206,102893,101159,98312,94869,115000,99193,112016,107643,102841,92479,124016
10000,106632,125158,128012,114250,133667,176581,174004,111192,132537,130941,142565,132166,124958,135330,127822,115528,132093,117672,113789,165379,111856,107621,139164,110902,113592,142461,118982,145514,122882,110690,140328,109583,119335,137563,134777,135935,131759,137421,114784,132044,127441,122389,113163,143726,125329,144804,127593,124627,127608,119328
11000,143051,149061,164603,126977,123988,120175,145795,174081,117895,164845,156585,137782,121768,170991,161386,115401,158308,151973,129638,128153,125374,128531,117416,145541,131410,166312,124826,115765,159129,133334,140364,136866,139044,139002,125339,141045,113884,167586,147337,135975,142316,114712,160412,114472,115711,163495,129548,150417,144087,164575
12000,160490,145768,132307,143379,160397,156142,148528,130191,187327,143688,154792,140011,161581,156767,137356,136034,153679,150244,148448,135643,144469,146193,165307,131447,146526,143456,161317,132316,166424,156977,159378,174177,144656,153714,146650,169694,159032,155749,132999,130558,139973,146130,161524,153522,133356,143510,160769,151974,150456,145985
13000,168793,178462,136807,182561,167747,156809,181383,190481,212209,157329,148722,159713,144586,143088,138642,161778,149840,151759,158603,159815,195112,165998,162990,147020,224436,180397,140646,155119,198724,161783,177065,162849,182672,180880,155704,164892,179093,151363,218954,159647,181124,148844,164798,157394,192340,145518,167422,219819,179737,164093
14000,150925,191279,202271,189218,173307,164236,171872,166103,186588,217016,191533,162960,169360,186630,157898,163247,154967,210157,214985,200529,153076,184306,157150,174369,155262,191639,171765,189765,162377,189113,176173,203351,180073,205520,191638,176831,174993,167163,165076,185528,177616,160753,205214,187076,189763,157978,171083,158657,175316,171637
15000,198858,199786,172944,177770,170135,220384,177499,183033,198645,165684,187924,181138,186537,199676,174986,210892,209799,182552,204013,207731,208645,224802,222059,175221,166592,165380,191242,185851,186503,166582,197186,186353,185561,207926,165265,231456,204966,183023,193976,187694,218986,170486,183143,164265,211303,173918,178457,164202,165960,203729
16000,213014,167018,200521,241534,237011,194338,240031,174201,191507,203377,210138,280442,228775,241105,182123,222412,185136,246076,187153,258472,193751,209104,217706,186400,197344,212087,179896,192947,210635,199855,222740,193692,205227,211713,196579,210756,179978,166409,184608,234961,219386,185537,204879,198015,211055,208806,175107,207085,208693,232741
17000,224884,226358,258876,271288,222856,194280,205093,207685,193574,243097,219230,209339,203685,222878,205889,213656,232641,225067,222864,240601,212599,235065,221542,241213,244175,247848,232849,219827,224046,241127,217837,191881,242110,235685,221154,222602,234640,199250,193761,197796,195391,199963,201599,231501,205756,220668,202281,228047,209021,196463
18000,211177,234514,275414,284311,244164,224636,239669,218327,242460,242595,291902,221774,223487,231498,227724,225921,205798,239668,216643,221736,200660,225477,254548,239908,240856,212804,202921,227379,279220,224048,233519,210696,228505,216617,240384,229562,217226,227562,239777,249988,238651,278316,268495,234631,228933,233616,203225,224446,256657,274601
19000,238139,330786,218334,224798,257970,243393,228924,284362,222743,276372,221018,257301,239691,218035,265891,264550,228342,239163,257346,220111,262520,210167,226209,260262,279628,248068,225747,241098,241738,279107,233319,310750,293124,210803,254607,256143,216545,260884,272828,251167,233300,258267,227158,260563,260673,252715,265394,279791,219443,330726
20000,273831,280353,240638,262292,234264,253984,244960,281132,257826,267164,217571,275741,260607,252463,278301,217924,280923,236517,235357,244132,233448,241789,260624,320264,235134,300405,249772,227463,239646,279988,303423,271344,288797,250615,250402,235981,260129,252815,271443,242359,261924,241900,287479,230957,327287,270115,301132,277798,269845,258215
21000,254267,293658,278124,291528,236526,238733,235391,233172,258043,330180,277847,325455,238148,259088,335255,296079,269650,248800,296162,249815,292079,260793,230286,263438,236359,265666,286968,259286,281996,245455,270511,260692,352108,244338,304557,285627,266186,236476,308314,279418,276548,288564,267254,282857,277125,253725,267450,266504,245377,247972
22000,273342,329722,311415,377459,316799,320523,260430,343319,231653,267735,268189,267810,293887,264387,323269,288965,301481,330571,256837,314823,268377,329213,295518,376135,319920,287382,275325,267146,294969,253306,289076,282013,267501,269409,314560,328874,292735,318459,282578,261517,329018,247056,267319,278432,321352,303605,298519,278942,314123,298637
23000,301709,271340,306147,294884,339262,298889,282777,311650,302094,295481,333407,268769,304206,316933,296987,300727,293929,303055,274291,269552,307862,258852,399256,299597,315414,288385,350102,354152,293948,296804,280225,288571,341745,351646,287278,272058,286093,352936,313692,472980,337117,315204,274424,314448,335956,303281,374088,299656,264569,318254
24000,327929,301895,304697,360562,359813,351635,360255,478365,320338,278690,347624,352408,336719,278221,290585,290513,273409,298380,293215,312180,318070,327662,323826,313282,322867,284921,346570,313025,292260,331345,331858,349470,300311,275861,366520,317281,278745,374451,368929,341670,328008,337713,338221,294398,286642,259594,317519,290635,304851,280130
25000,321173,339504,326120,311337,294084,323993,326403,293746,333669,346441,305207,402097,306574,326188,316733,338026,307199,397454,342373,296858,370258,337700,288555,307645,329559,312037,318375,318979,313106,297420,320603,330754,340585,313345,340826,357877,296799,324642,308007,338979,306346,311153,303458,296311,300775,374415,356196,328657,299606,323472
26000,413246,375760,354640,365986,315816,332244,315412,454271,326156,360114,377890,319955,358282,333072,348327,314911,327357,318856,289786,342771,360618,353092,355600,340139,359558,425392,301443,306174,326620,369300,360885,357407,371116,328484,318105,302218,369386,339949,352116,333695,319107,368393,320726,333580,300347,389237,341468,359183,324909,328364
27000,417284,314839,360057,335749,447077,348696,408231,305243,336629,394347,435946,375931,304108,363393,374800,365676,406977,398942,356799,386325,350365,410187,315435,415335,334341,354808,394720,325719,356509,377745,324776,421008,435582,347581,378188,333139,296717,333098,349771,337960,338939,337863,416276,336713,408439,355267,356826,379487,327320,371977
28000,470108,379054,385248,333377,359971,346001,352127,398552,356686,367290,340632,387562,388005,410423,404633,347862,318470,383945,382536,410545,345302,459449,375480,356440,457998,369520,350057,445293,327572,394389,342574,398712,392956,323512,412121,374075,327693,395995,400472,334322,386527,392665,390788,434445,390958,372467,431928,384339,347059,343265
29000,410844,394461,410967,395784,385349,427028,496489,407417,375896,339026,361220,395298,361004,376753,396663,363174,425477,410247,520215,423498,353731,399831,443442,383680,383140,398623,336895,391776,402907,366748,373363,381065,448377,441795,409071,409943,411028,441758,352200,349436,334594,345230,413142,490921,440371,383819,363391,372233,404652,386527
30000,382812,371084,501943,382772,465945,372640,353373,377156,482966,361755,377953,359619,372367,564791,386372,430652,406970,362559,361674,364362,335830,406990,421918,393221,442659,425150,425336,383611,473755,489316,381516,377201,395561,458805,385016,487434,359908,370004,426351,385830,460193,429746,382455,384984,422843,412233,511399,356788,412591,406843
31000,369188,359075,475519,405879,478957,454457,384110,456665,407881,452234,399463,395506,385220,442127,387296,392316,357187,473813,406611,587800,427976,469100,371238,424500,405148,406751,401737,394019,411509,420023,452437,422301,534599,439482,465556,420626,395638,443689,477196,405333,373316,423128,394099,379640,389721,363953,413161,421109,379996,368384
32000,453581,415368,527407,423791,386387,415902,463311,406157,464051,385107,414515,420384,453925,501257,485530,408357,382907,395861,404953,490625,430523,425430,463362,450577,476552,463409,406445,447041,432962,419998,424024,422915,396946,407793,389872,457616,447681,358963,398931,453643,462279,470358,513982,422704,427067,394993,407110,391877,410537,563481
33000,430381,502098,382148,515626,444817,479964,422873,487843,492271,405251,386374,409471,484936,399401,455626,493887,453303,433994,428783,395818,425421,452532,426634,481221,472905,483434,470565,450302,482307,479819,436972,503269,466255,457755,485955,482913,464537,427869,442953,530559,413387,410785,424099,553086,497260,513745,511153,414191,483164,451671
34000,518536,448062,398375,501033,481910,545565,446754,481456,473137,423847,460232,438121,538343,464019,485058,475239,499809,559202,453650,430860,474366,450531,452131,468610,518731,408994,412965,442316,443781,504576,403904,453660,459770,403205,468181,426591,486911,395453,432976,511064,405563,461476,452414,470177,518726,409638,423240,427066,479387,454645
35000,479900,475646,550038,431603,529681,468002,549632,474046,462196,470327,510222,465134,487699,539712,491839,484502,456612,423561,472735,430583,552252,404218,431548,459737,483209,436039,537486,493263,435296,419701,587115,438897,526214,466627,433434,449731,423207,457220,527199,540658,450557,510939,446153,448201,460359,442610,451271,464682,500972,418571
36000,535238,473261,546404,444284,500645,533564,479469,443795,498309,481159,514442,482823,579590,470734,515306,606266,545784,456362,467328,498756,499538,504591,530635,486196,434023,481657,512360,416731,536977,463951,534952,569440,520004,436477,560585,427432,452399,510473,404161,470631,456189,519561,516084,598117,489089,544711,553999,446740,514890,430029
37000,580013,505973,496903,507645,527910,462106,503721,542540,497485,480099,498266,441308,634456,488290,525856,463721,456426,555909,458813,492637,527894,482759,523046,458785,547585,446465,578078,493670,567010,447801,483093,504589,505331,552990,447223,402002,455134,486360,490288,537805,488057,508620,417551,620970,478103,489740,509389,490419,448171,554123
38000,508874,568039,568804,545431,584410,537151,515040,492996,542844,540032,473293,548300,492938,533370,550580,454716,467270,494638,600043,503957,524716,564966,500358,547440,473847,618721,545183,442760,627357,462896,624661,593430,524211,610285,601617,463131,576323,472791,516107,516745,522535,459715,450635,837862,558425,464031,617384,522703,496353,609500
39000,512185,531243,629415,661599,576366,526231,561255,495426,477118,483252,550947,536432,492212,537140,514510,497344,549336,501370,530536,507782,665826,488445,537652,625309,552314,547462,492454,550909,475829,536072,639951,549503,570233,597842,576128,509772,554084,540649,567055,499478,574063,482368,586145,540358,500568,503747,626196,464155,495618,588247
40000,539216,483480,544225,561135,568472,802131,545108,558005,569075,591874,554570,533742,570705,549201,551153,528636,495667,625364,501258,491585,557869,495773,596962,559251,542471,508654,524436,599841,553551,589684,475494,573770,720734,536719,554821,526960,540633,517492,548416,569414,540086,588090,646444,523779,637226,568741,544154,496117,504898,602662
41000,620005,540217,513023,451431,522402,509070,716756,565939,516112,576017,592329,547803,602805,596775,612589,556718,507627,583832,558596,573446,551471,583110,555261,703950,480240,581532,552628,538372,595585,534129,516553,667468,614136,627574,508640,555432,560964,661686,528600,536019,570845,553811,579316,572085,541632,549309,554411,482234,506235,544832
42000,640756,574558,545234,524839,714273,519345,554345,510561,533782,668243,639292,483465,691472,546787,644338,512895,594453,553331,526567,655461,535139,497793,572493,619841,549161,698287,508526,560457,664210,581645,498353,530917,614202,652395,584257,561103,529358,602142,594691,577215,585459,643285,693861,612825,561749,587752,547441,512089,540599,629241
43000,553136,530241,552821,798321,601700,605027,637826,573076,642660,566118,554311,588274,632864,700541,642701,653368,542867,540534,553786,649350,586312,521480,590701,573817,554605,536950,620129,570994,525535,643180,649996,599220,588503,634251,602141,516564,554227,666706,558334,590528,563546,569156,543402,562889,537148,684389,538852,539088,667194,598230
44000,667272,550895,736593,589767,571067,556068,561008,564731,814222,617296,610745,595399,568845,642221,556417,549088,610278,650915,564568,657308,631260,658784,710927,603676,609614,597035,505723,722583,690403,794080,619676,628120,592186,662079,556564,589239,704416,652140,571939,570270,584625,610254,575033,527330,532966,579922,627776,551906,733548,567079
45000,597621,553480,591484,612408,601125,682946,677743,572755,583005,625688,553574,617539,599522,574772,745898,600355,619524,633113,771578,636974,624076,726857,699862,643578,554480,668731,651505,728652,585156,626316,613025,678017,709358,571944,604906,577916,559533,890574,637950,676213,693058,630796,615721,552296,614951,684088,660165,579203,641622,634385
46000,558763,579285,746858,593312,725260,634478,563200,670723,684432,847302,614267,586700,590890,602544,595105,607924,640387,635982,679094,687810,609330,775093,554462,563821,627771,695299,619450,651769,686510,778082,605347,673654,658715,619881,611169,634507,638310,627240,638165,699513,597707,654339,581502,632352,642066,601766,573634,622423,693008,640998
47000,655868,646590,675588,622859,724502,634005,672569,688784,577870,655512,619802,640603,749860,651200,559937,680334,570847,715833,705785,636103,611913,573253,624368,676697,666015,552807,674310,682570,695585,714938,657969,674211,755829,599845,611625,610217,704683,702045,610566,654566,745153,720508,577504,615586,633173,643243,618018,567440,605977,735879
48000,623798,660921,737367,752053,663884,642134,640269,613132,751817,634523,672255,672608,685581,690061,636803,671206,674194,707557,669795,704195,753343,615213,737474,594344,669576,645521,633108,826508,678267,712812,701150,734147,565943,819065,778569,688139,763294,680771,669982,589851,605301,681211,734636,607855,626231,710410,697233,656172,619900,594861
49000,616956,783602,624523,643044,720236,701430,822151,632786,626349,667480,583205,678252,812942,596587,705376,653050,681006,602799,674516,647692,620630,696786,601077,739185,667212,667832,680719,650065,748763,794313,634770,605404,857174,734119,670039,628497,740843,727275,668376,692854,716153,692104,673720,651166,628092,707773,648948,664374,728424,758731
50000,637375,635483,723778,659086,748056,740748,599506,627471,669786,770023,770125,724351,657345,779583,940404,652450,742747,638758,707855,869771,821500,836696,637588,667832,655383,658606,648568,644002,789487,657942,714565,665285,682184,751233,710785,627067,715097,609708,691072,778937,797515,774264,717567,627641,712695,735641,710109,741494,711458,759659
51000,756024,653434,798151,692004,776879,775530,690237,730329,668781,667032,721434,731377,713641,710418,709373,671946,687851,606640,675722,624794,658612,753165,726430,839522,669938,709766,645593,660600,815495,711413,899483,669222,757223,641745,609217,694275,679427,730683,708782,734653,633739,740331,856299,656892,788005,708939,663787,808842,891724,717352
