n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
1000,995,1693,1162,3066,2329,2396,2129,2458,1589,6364,7162,1289,1776,723,850,3722,104,3390,112,1150,2334,2467,1760,1796,927,3595,294,836,1185,2517,3517,1907,1344,1338,2172,2912,1951,2021,1411,2292,567,3690,4068,2187,426,5065,1121,3028,3290,2579
2000,4178,1757,2834,2020,10077,6885,5311,3256,11453,1439,3732,7716,4402,4646,4336,3840,4797,3182,10453,8297,2415,1984,7027,10911,316,3949,4548,8374,7649,6879,4595,2409,5297,5163,6388,1810,1682,1997,3703,4237,6393,9056,5652,3560,3288,1160,4876,5551,12612,5298
3000,6875,2377,4288,2562,10432,2990,3316,2149,9098,14236,6463,8421,3649,4329,6118,13580,15523,9406,14494,4092,15275,13883,5699,11662,6673,11249,11598,12486,6308,15310,17547,13604,3590,15420,6908,4689,9034,11687,2824,5844,3855,5116,3222,5632,17070,14752,6996,7466,4021,18163
4000,12993,7360,13143,18753,14447,12387,8644,15431,16416,9442,22905,2737,7679,4042,21389,3230,11316,1659,1482,5353,9702,11261,12602,12805,5133,18233,12363,17009,3891,7723,6754,7506,13683,16012,16297,34401,8475,7338,10161,4370,9239,5470,21430,1750,3733,8419,10552,670,6650,3531
5000,7241,15092,16698,18876,3687,9965,5860,8401,23058,11696,13126,16671,18333,12525,15874,14568,5158,14292,14606,6501,23158,24399,14009,5390,19602,22062,8424,9671,12328,21789,6177,9468,12137,1968,9266,14399,12503,12151,24001,9688,27482,18976,23788,12557,23426,17360,2709,12513,11382,29467
6000,22163,20772,4533,7723,15389,19366,13083,8539,10722,11333,4376,9566,7153,3085,10777,10613,18688,6944,16233,11190,17213,16595,4509,12119,40703,7267,20792,7895,29294,15869,11328,7409,11570,859,4149,20717,16735,8830,15640,3666,8404,5746,11567,8870,28658,11367,7143,33372,23181,188
7000,24010,22215,12564,34587,12330,15439,23808,10851,11905,30460,15319,9540,18608,13386,25303,3998,22934,25596,6016,15496,24702,21200,25723,24168,17755,17401,14468,17449,19781,27723,21415,23884,24002,16700,5882,14423,10275,13983,11927,25726,18844,16447,14252,13846,14106,22237,3764,14580,12989,15368
8000,25676,22852,26029,13129,18591,29835,38933,31271,23390,11368,19642,6972,12996,12252,11075,10925,6783,23453,39129,11916,6135,26638,877,14551,17521,12646,17093,21231,22732,44709,25425,10212,32022,10375,15790,6422,25734,43320,12808,8553,13924,26478,23551,3018,10712,6631,12974,55372,52590,31415
9000,21224,12855,16095,14233,57324,4390,28411,8073,18484,35960,9074,55751,50541,10761,17462,36229,7845,54304,26752,10234,24427,46556,45833,30104,10172,6889,19945,35420,34462,8583,26110,28653,22546,19456,27642,29821,19995,21959,20532,22336,52691,13730,11376,30824,14672,88690,44656,10622,53510,20224
10000,997,26158,12724,22392,23515,32925,22008,20986,22688,34268,21325,19106,9416,7897,12560,21984,30953,45338,9836,25126,16769,16388,27666,37610,32197,514,34686,18594,11029,5821,31005,32956,3953,14668,40201,17071,34378,22147,20370,31734,38350,15961,34301,12744,35202,18579,12896,8940,27807,23747
11000,27235,17024,20083,47323,68265,42795,11660,29762,14836,32225,33845,46406,23340,3561,25709,32649,22377,51049,29241,7983,10259,35696,28520,15929,18514,35999,2086,22103,33731,24983,25624,12743,30578,26190,39867,44489,34303,45571,24457,24591,83270,26409,4200,56851,30606,16671,65159,23738,8746,41564
12000,38691,20803,10646,36555,51840,37263,30480,28014,18029,23538,36869,29120,43328,29385,68860,24036,19776,6335,16093,37896,5705,36426,15265,26070,9596,101576,24327,15918,17544,39266,35846,4065,33010,32344,2645,1981,53963,5905,24103,17234,24733,55991,38791,43074,29949,65078,21470,27387,13127,8359
13000,28794,42982,30089,34724,31629,43176,27164,34266,50292,35960,48101,44717,15622,65349,62555,23687,37205,18948,62871,44845,37976,29524,33723,14521,31385,15569,28927,24996,572,15688,32098,33235,56832,48535,21839,29474,13333,55751,40896,23868,33634,25722,10706,25145,28805,40355,10645,24091,68900,46827
14000,26957,28913,17330,76432,12662,42485,40266,58716,1184,8322,45387,43962,38720,104653,49388,57937,36801,30357,8643,27373,94886,30978,38649,61501,80334,63355,66567,47923,19247,43458,20389,25103,73576,62905,59639,20974,30907,56705,44658,37966,36130,68696,52336,35018,34487,61007,20413,63698,77183,31315
15000,45457,55351,40120,7938,12266,41157,43692,37110,11211,23352,493,19131,62558,36059,35934,55289,14145,47493,40738,61573,9297,72050,37003,60002,13227,37315,6042,52217,63817,22899,88773,27345,24611,33902,18110,23052,107823,36021,59658,3942,25945,19937,78200,43921,56035,16705,40673,16683,19439,52607
16000,28709,20277,40142,33354,49984,29945,3989,45712,44191,65428,104726,56271,32257,26244,26081,58902,20239,30247,76151,53556,37890,14367,44614,34434,59807,3374,57466,44300,35426,38610,4033,64712,60235,44543,50183,43179,21674,79244,47685,52338,51387,14600,28883,42914,25857,40115,40404,11386,14682,37416
17000,45385,44360,5826,16482,27225,54426,8225,38199,69295,64078,54114,22446,20281,49429,29396,88147,27866,11913,29483,33190,53848,20232,3693,44883,38290,59332,57890,12296,44392,45728,88797,52294,66181,132478,50500,72002,10722,26438,32634,69589,28010,85344,5966,90512,56981,14031,79236,21821,36640,35939
18000,43293,47920,58946,12428,65562,16285,108362,62570,6904,40650,61594,27841,56077,20796,43203,20388,81613,68705,136857,82818,40530,15434,45705,81726,63068,674,63159,71390,84100,47289,63578,27947,42317,70649,59666,27992,55894,25563,62864,74237,48301,56582,61439,114055,28285,66351,40488,19423,42158,52593
19000,23134,72176,62640,66788,19486,53493,52818,3984,82047,24973,48774,3137,43397,55048,60964,38914,16612,41002,49785,2900,38763,32818,122609,18501,52854,28803,37524,92762,14152,146847,21643,69677,75069,19830,39757,4398,73879,74905,25353,57439,96270,65948,47897,42205,9019,53416,16352,420,46476,45987
20000,31372,66294,62674,5959,42269,30154,10756,57563,136797,34531,78821,56615,74972,92826,35102,51727,49771,22975,20628,31172,53246,93143,67412,58870,9554,39808,51474,71447,23560,37188,46484,25231,72358,25902,180831,53014,105404,71077,10537,69108,56915,65804,85816,18150,60805,3053,140071,52847,40397,90797
21000,61009,24269,89418,75806,60087,87759,93153,433,43377,86880,44928,50548,6150,43416,31154,83849,2792,29935,49117,82104,121761,43235,74362,63475,29091,23910,33823,65207,689,80243,51887,69745,55084,97358,77476,80607,10617,40525,49024,74721,63979,78224,42328,50455,77317,21098,73744,24343,72569,30544
22000,45571,91898,53721,56032,29276,55890,32061,15115,75889,30887,101661,31332,77290,67861,94626,19168,80689,24251,33367,100882,37753,85814,47423,56397,20077,38076,9925,52833,33649,82830,119369,46100,23713,39750,77118,36215,64778,48046,782,48671,98627,9048,22287,81307,129229,58980,38065,129892,37569,70176
23000,37350,73874,139684,47374,20965,80284,7892,35970,49527,51341,85448,67596,103328,38161,8684,44185,117161,71264,66656,52706,83777,58415,95453,85547,23379,34822,2206,27972,72782,73242,54579,69459,95351,24161,85341,46208,111696,30083,66237,78214,98385,196099,45055,24245,85244,39461,163795,1951,15183,17802
