n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
1000,372,369,364,359,358,366,376,359,382,367,375,380,365,377,366,368,383,364,377,362,363,384,363,362,377,380,371,376,390,360,373,377,355,382,363,358,363,364,360,397,372,371,375,363,362,366,355,350,369,377
2000,745,754,730,751,740,739,744,741,732,730,745,737,742,719,733,724,729,716,717,732,727,723,724,749,749,701,742,721,734,716,740,723,735,750,735,743,717,714,752,716,753,733,746,758,737,719,719,729,739,706
3000,1083,1124,1116,1108,1115,1121,1106,1080,1119,1101,1100,1126,1103,1065,1111,1070,1120,1124,1087,1084,1116,1106,1092,1119,1114,1080,1093,1116,1116,1089,1082,1071,1110,1131,1117,1121,1126,1087,1104,1105,1112,1073,1103,1129,1111,1068,1097,1104,1155,1125
4000,1461,1507,1499,1430,1490,1481,1520,1447,1473,1477,1489,1456,1468,1474,1475,1498,1500,1444,1469,1505,1491,1474,1477,1486,1496,1467,1457,1485,1487,1492,1516,1443,1477,1470,1492,1438,1453,1433,1508,1483,1485,1436,1484,1491,1499,1513,1489,1464,1494,1472
5000,1861,1838,1848,1871,1848,1819,1826,1821,1835,1824,1811,1827,1829,1808,1860,1873,1834,1834,1814,1842,1804,1795,1851,1817,1883,1801,1823,1842,1819,1827,1824,1807,1844,1802,1853,1824,1855,1842,1873,1854,1816,1848,1845,1803,1822,1846,1804,1834,1821,1853
6000,2217,2224,2174,2199,2209,2248,2166,2167,2185,2226,2165,2236,2169,2219,2195,2190,2233,2190,2193,2191,2202,2213,2205,2201,2211,2237,2208,2167,2181,2219,2178,2228,2159,2208,2194,2197,2257,2224,2190,2241,2193,2235,2216,2243,2194,2190,2215,2224,2223,2232
7000,2559,2573,2567,2538,2550,2605,2610,2635,2561,2538,2579,2530,2523,2586,2557,2547,2600,2529,2591,2569,2528,2573,2573,2526,2612,2535,2541,2561,2586,2578,2598,2552,2598,2583,2605,2582,2574,2551,2604,2592,2579,2558,2591,2588,2584,2568,2548,2612,2558,2580
8000,2954,2909,2984,2965,2970,2924,2917,2955,2930,2964,2974,2913,2956,2944,2954,2917,2955,2976,2963,2960,2984,2950,2960,2968,2940,2897,2943,2945,2951,2950,2978,2908,2908,2960,2973,2962,2894,2958,2924,2934,2952,2958,2950,2968,2917,2940,2951,2966,2947,2950
9000,3254,3269,3326,3336,3306,3318,3310,3330,3326,3294,3277,3286,3323,3301,3412,3343,3372,3314,3293,3326,3267,3330,3268,3359,3379,3307,3294,3293,3317,3289,3370,3343,3333,3272,3250,3249,3269,3276,3377,3371,3329,3273,3269,3313,3317,3278,3308,3253,3274,3322
10000,3717,3710,3673,3694,3702,3660,3637,3700,3674,3697,3679,3670,3669,3742,3721,3715,3625,3682,3670,3710,3709,3691,3664,3702,3647,3621,3724,3663,3691,3605,3650,3680,3673,3675,3657,3726,3643,3642,3600,3715,3740,3692,3662,3691,3662,3705,3647,3707,3699,3651
11000,3987,4073,4077,4046,4056,4086,4055,4105,4041,4009,4052,4032,4016,4058,4071,4050,4077,4047,3992,4079,4031,4037,3986,4079,4036,4054,4085,3975,4042,4077,4057,4055,4075,4052,4008,4042,4039,4065,4017,4102,4088,4048,4096,4076,4068,4090,4041,4064,4049,4037
12000,4364,4371,4489,4329,4369,4399,4432,4515,4392,4387,4392,4442,4404,4376,4427,4421,4356,4460,4371,4391,4457,4436,4442,4447,4493,4450,4439,4382,4428,4427,4429,4362,4367,4396,4375,4418,4414,4451,4431,4493,4418,4399,4395,4437,4451,4395,4345,4475,4391,4409
13000,4840,4767,4778,4855,4804,4769,4770,4826,4766,4824,4777,4802,4772,4822,4662,4749,4783,4802,4761,4788,4783,4792,4800,4748,4782,4748,4771,4737,4744,4802,4766,4785,4791,4721,4816,4792,4815,4803,4757,4799,4819,4819,4806,4756,4757,4742,4766,4752,4768,4783
14000,5143,5112,5078,5125,5162,5173,5120,5159,5125,5128,5132,5122,5147,5118,5201,5145,5111,5137,5094,5088,5095,5163,5180,5161,5139,5172,5117,5154,5133,5161,5216,5111,5140,5159,5130,5075,5072,5140,5125,5158,5161,5178,5078,5119,5175,5143,5077,5215,5113,5135
15000,5492,5536,5463,5582,5513,5534,5515,5504,5462,5578,5478,5469,5521,5514,5609,5527,5469,5491,5539,5543,5559,5482,5546,5565,5514,5544,5542,5523,5565,5467,5496,5482,5551,5528,5524,5528,5576,5527,5541,5475,5549,5529,5568,5581,5484,5513,5511,5528,5514,5503
16000,5839,5876,5888,5866,5912,5883,5890,5898,5897,5879,5888,5877,5909,5876,5866,5858,5852,5980,5899,5927,5873,5869,5877,5894,5821,5906,5917,5897,5962,5814,5856,5869,5860,5891,5859,5951,5875,5824,5881,5933,5933,5866,5893,5905,5896,5894,5909,5851,5816,5910
17000,6284,6259,6242,6337,6155,6272,6233,6334,6247,6233,6281,6240,6147,6288,6256,6178,6257,6281,6268,6301,6226,6223,6284,6230,6252,6320,6312,6269,6255,6273,6225,6272,6287,6247,6296,6245,6189,6268,6265,6343,6289,6275,6317,6298,6206,6246,6278,6186,6223,6279
18000,6628,6601,6628,6600,6593,6566,6621,6600,6693,6597,6705,6548,6644,6619,6645,6646,6602,6622,6683,6648,6723,6604,6610,6691,6643,6673,6584,6596,6633,6608,6606,6657,6606,6606,6674,6682,6595,6649,6622,6634,6620,6683,6661,6517,6535,6698,6578,6668,6622,6559
19000,6883,6983,6878,6978,7028,6964,6950,7086,7047,6919,7031,7000,6994,6993,6964,7032,6998,6916,6984,7007,6995,7105,6975,7036,7019,6911,6937,7011,6905,6919,6976,7081,6982,7038,6979,6962,6952,7022,6990,6996,6933,6961,7002,6990,6976,7033,7025,6982,7034,6990
20000,7385,7336,7408,7301,7369,7289,7283,7330,7335,7354,7478,7347,7330,7315,7369,7403,7365,7348,7321,7388,7366,7352,7305,7497,7371,7282,7346,7242,7351,7394,7297,7353,7362,7330,7316,7390,7349,7299,7298,7308,7354,7396,7343,7367,7316,7388,7387,7353,7370,7314
21000,7658,7679,7745,7734,7677,7771,7722,7638,7735,7805,7797,7698,7661,7719,7735,7701,7715,7684,7738,7658,7710,7760,7730,7789,7801,7715,7726,7778,7744,7757,7730,7742,7653,7816,7705,7739,7720,7736,7862,7766,7655,7702,7802,7782,7729,7652,7770,7733,7657,7823
22000,8096,8073,8141,8075,8026,8074,8068,8074,8100,8070,8052,8121,7972,8165,8071,8013,8122,8072,8104,8003,8114,8013,8057,8091,8053,8100,8173,8059,8123,8082,8128,8092,8043,8070,8044,8071,8068,8149,8138,8055,8079,8098,8072,8101,8120,8061,8115,8085,8109,8126
23000,8475,8358,8483,8455,8484,8484,8430,8461,8420,8451,8437,8518,8520,8402,8458,8426,8520,8371,8434,8350,8464,8474,8451,8515,8482,8491,8456,8493,8378,8448,8423,8488,8432,8326,8490,8470,8457,8412,8412,8449,8480,8470,8431,8467,8314,8502,8461,8395,8477,8386
